,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
94267,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94280,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94283,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94284,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94290,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94294,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94301,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94304,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94306,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94314,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94318,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94324,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94353,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94365,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94371,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94372,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94373,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94376,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94403,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94405,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94407,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94408,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94412,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94415,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94418,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94430,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94432,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94433,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94438,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94489,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94490,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94492,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94493,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94494,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
94495,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94498,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94500,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94501,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94502,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94503,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94510,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94529,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94534,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94540,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94616,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94620,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94660,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94689,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94692,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94694,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94696,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94697,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94698,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94699,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94703,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94704,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94705,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
94707,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94708,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94711,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94715,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94717,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94719,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94722,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94723,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94728,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94732,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94734,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94738,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94747,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94748,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94753,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94754,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94757,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94758,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94760,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94761,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94766,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94771,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94775,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94776,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94777,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94780,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94782,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94785,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94797,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94803,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94804,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94813,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94815,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94818,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94822,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94824,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94825,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94826,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94827,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94828,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94829,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94830,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94832,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94833,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94835,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94839,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94857,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94865,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94900,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94925,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94952,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
