,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
93133,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93148,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93179,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93193,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93196,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93205,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93210,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93242,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93288,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93293,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93297,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93310,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93318,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93319,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93334,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93343,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93344,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93345,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93346,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93348,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93350,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93352,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93353,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93354,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93355,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93357,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93358,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93359,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93360,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93363,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93364,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93367,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93369,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93371,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93374,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93383,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93386,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93395,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93396,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93397,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93404,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93408,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93414,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93416,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93417,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93424,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93426,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93429,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93433,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93435,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93447,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93465,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93487,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93493,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93501,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93509,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93510,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93515,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93521,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93524,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93532,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93542,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93543,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93552,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93559,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
