,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
93561,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93565,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93571,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93580,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93587,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93591,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93595,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93596,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93598,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93599,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93601,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93605,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93607,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93608,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93611,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93613,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93615,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93617,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93624,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93626,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93636,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93640,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93642,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93652,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93654,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93656,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93659,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93660,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93666,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93675,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93676,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93677,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93679,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93693,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93712,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93715,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93728,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93765,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93774,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93776,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93781,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93805,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93831,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93851,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93853,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93855,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93857,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93863,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93865,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93866,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93873,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93877,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93878,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93882,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93884,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93895,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93896,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93905,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93906,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93907,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93924,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93926,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93951,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93955,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93964,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93975,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94000,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94008,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94022,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94024,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94027,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94028,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94036,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94040,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94042,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94056,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94078,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94091,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94117,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94133,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94136,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94137,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94138,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94144,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94150,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94154,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94205,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94228,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94230,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94236,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94241,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94246,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94248,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94250,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94254,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94256,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94263,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94265,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94267,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94270,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94278,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94284,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94292,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94294,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94299,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94301,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94314,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94318,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94320,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94323,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94327,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94328,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94335,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94338,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
94339,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94340,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94341,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
94343,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94344,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94347,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94348,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94349,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94351,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94354,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94357,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94358,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94359,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94360,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94366,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94375,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
94385,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94408,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94409,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94410,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94411,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94413,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94416,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94417,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94428,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94430,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94431,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94432,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94443,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94446,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94450,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94454,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94455,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94460,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94468,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94469,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94477,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94479,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94509,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94534,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94535,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94536,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94538,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94539,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94542,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94543,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94544,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94547,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94551,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94552,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94553,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94554,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94556,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94572,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94575,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94580,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94581,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94583,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94584,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94594,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94598,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94611,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94613,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94615,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94617,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94631,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94632,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94633,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94634,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94635,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94636,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94643,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94649,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94656,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94659,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94660,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94662,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94663,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94664,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94665,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94666,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94668,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94669,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94670,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94671,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94672,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94674,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94675,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94677,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94678,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94680,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94685,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94686,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94688,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94711,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94712,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94734,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94740,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94777,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94785,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94789,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94798,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94805,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94828,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94871,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94939,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94955,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94959,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94961,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94982,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94984,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94985,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94999,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95002,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95007,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95012,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95017,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95026,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95044,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95046,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95048,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95059,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95077,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95078,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95080,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95089,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95093,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95100,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95102,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95112,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95113,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95114,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95116,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95117,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95120,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95121,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95122,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95128,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95129,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95132,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
