,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
92283,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92325,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92328,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92385,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92423,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92435,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92437,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92445,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92495,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92514,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92515,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92517,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92527,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92531,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92537,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92544,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92620,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92627,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92632,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92633,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92634,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92642,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92643,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92648,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92664,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92666,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92697,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92704,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92720,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92727,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92729,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92765,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92804,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92805,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92806,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92812,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92814,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92816,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92818,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92821,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92822,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92825,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92826,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92828,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92834,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92842,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92844,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92854,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92858,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92860,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92864,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92880,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92893,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92897,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92898,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92900,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92902,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92908,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92928,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92929,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92933,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92935,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92936,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92937,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
92943,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92946,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93019,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93034,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93095,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93096,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93105,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93108,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93110,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93140,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93153,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93157,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93160,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93164,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93165,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93167,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93168,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93172,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93466,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93477,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93478,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93482,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93486,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93513,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93519,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93523,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93534,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93555,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93607,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93608,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93618,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93629,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93635,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93683,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93709,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93726,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93741,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93748,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93751,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93805,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93811,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93817,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93827,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93833,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93837,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93839,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93844,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93846,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93847,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93864,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93868,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93869,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93896,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93907,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93934,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93937,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94018,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94023,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94039,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94041,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94061,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94062,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94075,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94077,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94078,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94079,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94080,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94081,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94082,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94084,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94117,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94146,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94148,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94151,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94163,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94167,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94323,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94344,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94347,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94360,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94368,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94377,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94389,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94400,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94402,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94403,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94425,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94442,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94511,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94617,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94618,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94632,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94639,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94640,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94641,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94642,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94647,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94657,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94663,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94669,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94690,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94704,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94707,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94720,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94721,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94725,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94731,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94737,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94738,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94739,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94740,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94763,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94816,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94818,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94865,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94877,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94886,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94909,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95026,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95060,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95105,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95116,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95175,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95179,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95184,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95185,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95186,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95191,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95197,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95221,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95279,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95280,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95281,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95285,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95286,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95287,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95291,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95292,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95326,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95363,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95489,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95503,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95507,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95511,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95513,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95570,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95577,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95597,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95632,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95644,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95657,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95671,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95672,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95678,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95691,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95709,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95713,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95718,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95737,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95738,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95778,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95780,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95782,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95835,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95837,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95945,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95975,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95979,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
96050,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96108,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96110,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96114,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96125,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96126,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96131,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96169,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96204,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96252,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96266,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96267,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96273,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96278,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96280,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96292,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96295,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96300,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96321,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96329,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96344,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96429,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
96431,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96438,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96440,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
96476,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96478,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96539,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96550,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96556,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
96587,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96590,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96595,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96608,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96609,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96689,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96715,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
96726,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96738,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96765,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
96767,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
